05 may 2014 IST 05may2014_1 1370
18 5 crab on contm start 1370
18 10 crab on contm stop 1370
18 11 crab off contm start 1370
18 14 crab off contm stop 1370
18 14 crab ehi contm start 1370
18 17 crab ehi contm stop 1370
18 18 crab off contm start 1370
18 21 crab off contm stop 1370
18 21 crab hi contm start 1370
18 24 crab hi contm stop 1370
18 24 crab off contm start 1370
18 27 crab off contm stop 1370
18 27 crab med contm start 1370
18 30 crab med contm stop 1370
18 30 crab off contm start 1370
18 33 crab off contm stop 1370
18 33 crab low contm start 1370
18 36 crab low contm stop 1370
18 37 crab off contm start 1370
18 40 crab off contm stop 1370
18 41 crab on contm start 1370
18 46 crab on contm stop 1370
18 47 crab off contm start 1370
18 50 crab off contm stop 1370
18 50 crab ehi contm start 1370
18 53 crab ehi contm stop 1370
18 53 crab off contm start 1370
18 56 crab off contm stop 1370
18 57 crab hi contm start 1370
18 59 crab hi contm stop 1370
19 0 crab off contm start 1370
19 3 crab off contm stop 1370
19 3 crab med contm start 1370
19 6 crab med contm stop 1370
19 6 crab off contm start 1370
19 9 crab off contm stop 1370
19 9 crab low contm start 1370
19 12 crab low contm stop 1370
19 12 crab off contm start 1370
19 15 crab off contm stop 1370
19 19 crab on contm start 1370
19 22 crab on contm stop 1370
19 23 crab off contm start 1370
19 26 crab off contm stop 1370
19 26 crab ehi contm start 1370
19 26 crab ehi contm stop 1370
